filenames,1A.cpp,1B.cpp,1C.cpp,1D.cpp,2A.cpp,2B.cpp,3A.cpp,3B.cpp,4A.cpp,4B.cpp,5A.cpp,5B.cpp
1A.cpp,0.0,0.6197609221119744,0.895919142264117,0.5407652914435244,0.4641062875404298,0.4319934497879666,0.3766506331817897,0.41383638849662396,0.696859260081045,0.7523213462128449,0.44105484821900753,0.5923848662189083
1B.cpp,0.6197609221119744,0.0,0.6897283141272528,0.3952904817090591,0.3782223246956876,0.3332225324167756,0.4950010965233411,0.5398996203625851,0.8036416707833407,0.6667275067504097,0.34569390420513435,0.4232190024551754
1C.cpp,0.895919142264117,0.6897283141272528,0.0,0.5964940662571406,0.5305983026377695,0.4841118820315069,0.3857820725597265,0.4255882890593303,0.7107663181888209,0.8027101350540595,0.473591268352223,0.6196422273030129
1D.cpp,0.5407652914435244,0.3952904817090591,0.5964940662571406,0.0,0.7513011678606323,0.7271115698471586,0.3253084138181628,0.3547940476072582,0.4420851501165406,0.6697171735500684,0.7652372715826327,0.7502673847529079
2A.cpp,0.4641062875404298,0.3782223246956876,0.5305983026377695,0.7513011678606323,0.0,0.9569745294152207,0.2969239406527009,0.3232504731014282,0.3455044504639825,0.47917951492383515,0.6730791409827612,0.6204949103472239
2B.cpp,0.4319934497879666,0.3332225324167756,0.4841118820315069,0.7271115698471586,0.9569745294152207,0.0,0.28364719928547544,0.3073843114033141,0.3160636072638018,0.4616665312048247,0.6618239012566383,0.5998461925069137
3A.cpp,0.3766506331817897,0.4950010965233411,0.3857820725597265,0.3253084138181628,0.2969239406527009,0.28364719928547544,0.0,0.8243123272202828,0.44918828701639313,0.3832803873460996,0.47517879188687184,0.48949743962771164
3B.cpp,0.41383638849662396,0.5398996203625851,0.4255882890593303,0.3547940476072582,0.3232504731014282,0.3073843114033141,0.8243123272202828,0.0,0.5499043467764919,0.46251474855381536,0.43429768748750786,0.45705321406534327
4A.cpp,0.696859260081045,0.8036416707833407,0.7107663181888209,0.4420851501165406,0.3455044504639825,0.3160636072638018,0.44918828701639313,0.5499043467764919,0.0,0.7378274381002707,0.3611525127940708,0.4569788572714172
4B.cpp,0.7523213462128449,0.6667275067504097,0.8027101350540595,0.6697171735500684,0.47917951492383515,0.4616665312048247,0.3832803873460996,0.46251474855381536,0.7378274381002707,0.0,0.5088975745305122,0.6008138325499089
5A.cpp,0.44105484821900753,0.34569390420513435,0.473591268352223,0.7652372715826327,0.6730791409827612,0.6618239012566383,0.47517879188687184,0.43429768748750786,0.3611525127940708,0.5088975745305122,0.0,0.7788486009868206
5B.cpp,0.5923848662189083,0.4232190024551754,0.6196422273030129,0.7502673847529079,0.6204949103472239,0.5998461925069137,0.48949743962771164,0.45705321406534327,0.4569788572714172,0.6008138325499089,0.7788486009868206,0.0
